Locality,RestaurantName,Address,Category,CostForTwo,Cuisines,Ratings,votes,Latitude,Longitude
C Scheme,Brown Bites,"E-143, Ramesh Marg, C Scheme, Jaipur","Café, Bakery",400,"Cafe, Bakery",3.8,232,26.905342699999995,75.79433639999998
C Scheme,Apsara Ice Creams,"Shop 1, Ground Floor, Aurum Building, Tilak Marg, C Scheme, Jaipur",Dessert Parlor,200,"Ice Cream, Desserts",4.2,233,26.907592100000002,75.80141390000001
C Scheme,Nothing Before Coffee,"Opposite Mahaveer College Gate 2, Mahaveer Marg, C Scheme",Beverage Shop,400,"Cafe, Fast Food",4.2,219,26.9093762,75.8100699
C Scheme,Suvarna Mahal - Rambagh Palace,"Rambagh Palace, Bhawani Singh Road, C Scheme, Jaipur",Fine Dining,5000,"North Indian, Awadhi, Hyderabadi",4.2,209,26.8981309,75.80823989999998
C Scheme,Sri Motu Ram Prasadam Original,"Shop 1, Yudhishtir Marg, Near Ashok Nagar Police Station, C Scheme, Jaipur",Casual Dining,800,"North Indian, South Indian, Rajasthani",4.2,191,26.906725800000004,75.7988391
C Scheme,Ten Twisters,"4th Floor, The Landmark, Ahinsa Circle, C Scheme, Jaipur",Casual Dining,1800,"North Indian, Continental, Chinese, Asian",4.1,199,26.9139625,75.80580549999998
C Scheme,Looters,"F-163, Chaitanya Marg, C Scheme, Jaipur",Quick Bites,300,"Fast Food, Beverages",4.1,195,26.909691,75.797771
C Scheme,Karim's,"15-A, Parivahan Marg, Near Civil Lines Fatak, C Scheme, Jaipur",Casual Dining,800,"Mughlai, North Indian, Kebab",3.3,311,26.910146,75.7907309
C Scheme,Roll Express,"Residency Masjid, Ramesh Marg, C Scheme, Jaipur",,300,Rolls,3.6,365,26.9056209,75.79441390000001
C Scheme,Kota Kachori-Falahaar,"Trimurti Mall, Ahinsa Circle, C Scheme, Jaipur",Quick Bites,150,"Street Food, Mithai",3.9,344,26.914585700000003,75.8048668
C Scheme,Big Slick,"C-81 A, Azad Marg, C Scheme, Jaipur",Quick Bites,600,"Burger, Fast Food",4.0,244,26.910093100000005,75.79726409999998
C Scheme,Jaipur Hot Breads,"C 76, Sarojini Marg, C Scheme, Jaipur",Bakery,100,Bakery,3.9,210,26.909427700000002,75.808151
C Scheme,Sammy Singh's Rooftop,"Hotel Garden View, Subhash Marg, C Scheme, Jaipur",Lounge,1700,"North Indian, Chinese, Fast Food, Italian",3.8,116,26.914117200000003,75.80475140000001
C Scheme,The Rajput Room - Rambagh Palace,"Rambagh Palace, Bhawani Singh Road, C Scheme, Jaipur",Fine Dining,4000,"North Indian, Continental, Asian",4.2,159,26.898359999999997,75.80845500000002
C Scheme,Olive,"T 4, Ramesh Marg, Ashok Nagar, C Scheme, Jaipur",Casual Dining,1000,"Italian, Mexican, North Indian",3.9,114,26.9058702,75.7945119
C Scheme,Tan-Sukh,"E-62, Bhagat Singh Marg, C Scheme, Jaipur",Casual Dining,1100,"North Indian, Rajasthani, Chinese",3.8,165,26.912351300000005,75.8006077
C Scheme,Dosaka - Taste of South,"Shop 5, Opposite Mahaveer School, Gate 2, Mahavir Marg, C Scheme, Jaipur",Casual Dining,500,"South Indian, Beverages",4.1,138,26.9093604,75.8101883
